title,price,bed,bath,area(sq.ft.)
"7747 Brace Street Detroit, MI 48228","70,000",3,1,897
"87 East Philadelphia Street Detroit, MI 48202","444,500",7,4,"3,564"
"11391 Piedmont Street Detroit, MI 48228","64,000",3,1,962
"13445 Tacoma Street Detroit, MI 48205","54,900",3,1,"1,445"
"15303 Promenade Street Detroit, MI 48224","53,900",3,1,"1,059"
"6151 Lodewyck Street Detroit, MI 48224","90,000",3,1.5,"1,035"
"20235 Ferguson Street Detroit, MI 48235","55,000",3,1,999
"16035 East State Fair Avenue Detroit, MI 48205","60,000",3,1,"1,000"
"13574 Minock Street Detroit, MI 48223","50,000",3,1,912
"19366 Dresden Street Detroit, MI 48205","58,000",3,1,906
"6365 Longacre Street Detroit, MI 48228","78,000",3,1,713
"9547 Mansfield Street Detroit, MI 48227","59,900",4,1,971
"13216 Hubbell Avenue Detroit, MI 48227","65,000",3,1,"1,250"
"847 Ashland Street Detroit, MI 48215","229,000",6,2,"2,442"
"1705 Livernois Detroit, MI 48209","975,000",16,8,"3,240"
"20510 Fenmore Street Detroit, MI 48235","85,000",3,1,"1,184"
"1541 Merrick Street Detroit, MI 48208","435,000",4,2,"2,412"
"13952 Northlawn Street Detroit, MI 48238","90,000",4,2,"1,440"
"15855 Auburn Street Detroit, MI 48223","85,000",3,1,"1,242"
"19793 Goulburn Avenue Detroit, MI 48205","65,000",3,1,"1,012"
"3941 Helen Street Detroit, MI 48207","190,900",4,2,"2,686"
"5283 Kensington Avenue Detroit, MI 48224","164,900",4,2,"2,194"
"2688 Montgomery Avenue Detroit, MI 48206","220,000",8,4,"3,262"
"13975 Rutherford Street Detroit, MI 48227","85,000",3,1.5,"1,303"
"11667 Wayburn Street Detroit, MI 48224","70,000",3,1,"1,165"
"8229 Penrod Street Detroit, MI 48228","65,000",3,1,855
"11351 Terry Street Detroit, MI 48227","60,000",3,1,893
"8501 Roselawn Street Detroit, MI 48204","69,999",3,2,"1,080"
"18294 Marlowe Street Detroit, MI 48235","125,000",3,1,"1,368"
"19810 Forrer Street Detroit, MI 48235","125,000",3,1,"1,487"
"10110 Beaconsfield Street Detroit, MI 48224","78,000",3,2,"1,434"
"13892 Edmore Drive Detroit, MI 48205","79,000",3,1,"1,229"
"15369 Prevost Street Detroit, MI 48227","85,000",3,1,"1,117"
"19430 Prevost Street Detroit, MI 48235","74,900",3,1,"1,262"
"16261 Tracey Street Detroit, MI 48235","80,000",3,1,"1,300"
"18025 Beland Street Detroit, MI 48234","59,900",3,1,"1,028"
"11603 Laing Street Detroit, MI 48224","69,900",3,1,"1,238"
"19440 Rutherford Street Detroit, MI 48235","85,000",3,1,824
"16554 Whitcomb Detroit, MI 48235","110,000",3,2,"1,275"
"16062 Carlisle Street .gMqXXr{display:block;height:80px;}/*!sc*/
@media (min-width:768px){.gMqXXr{display:none;}}/*!sc*/
data-styled.g291[id=""MapButtonPadding-sc-1py0i6t""]{content:""gMqXXr,""}/*!sc*/
 Detroit, MI 48205","75,000",3,1,957
"12342 Griggs Street Detroit, MI 48204","99,000",6,2,"2,112"
"8657 Grandville Avenue Detroit, MI 48228","60,000",3,1,806
"15403 Carlisle Street Detroit, MI 48205","69,900",3,1,"1,025"
"19165 Hickory Street Detroit, MI 48205","64,900",3,1,"1,732"
"2541 Monterey Street Detroit, MI 48206","200,000",4,4,"2,688"
"20056 Barlow Street Detroit, MI 48205","75,000",3,1,934
"9152 Winthrop Street Detroit, MI 48228","65,000",3,1,"1,035"
"19003 Riverview Street Detroit, MI 48219","65,000",3,1,989
"0 Livernois-cadet Avenue Detroit, MI 48209","975,000",8,8,"3,240"
"2191 Helen Street Detroit, MI 48207","150,000",4,1.5,"1,821"
"11406 Roxbury Street Detroit, MI 48224","124,900",4,1.5,"1,315"
"10817 Nottingham Road Detroit, MI 48224","104,900",4,2,909
"16701 Rockdale Street Detroit, MI 48219","99,900",4,2,"1,124"
"16191 Roselawn Street Detroit, MI 48221","58,000",3,1.5,"1,254"
"18474 Stansbury Avenue Detroit, MI 48235","80,000",4,1,"1,038"
"19457 Hubbell Avenue Detroit, MI 48235","75,000",3,1,988
"11537 Roxbury Street Detroit, MI 48224","59,900",3,1,"1,004"
"15391 Griggs Street Detroit, MI 48238","89,900",3,1,"1,190"
"16740 Asbury Park Detroit, MI 48235","89,900",3,1,"1,300"
"15818 Ward Avenue Detroit, MI 48227","84,900",3,1.5,"1,112"
"20505 Buffalo Street Detroit, MI 48234","55,000",3,1,"1,062"
"15466 Carlisle Street Detroit, MI 48205","85,000",3,2,"1,233"
