title,price,bed,bath,area(sq.ft.)
"7747 Brace Street Detroit, MI 48228","70,000",3,,
"87 East Philadelphia Street Detroit, MI 48202","444,500",7,,
"11391 Piedmont Street Detroit, MI 48228","64,000",3,,
"13445 Tacoma Street Detroit, MI 48205","54,900",3,,
"15303 Promenade Street Detroit, MI 48224","53,900",3,,
"6151 Lodewyck Street Detroit, MI 48224","90,000",3,,
"20235 Ferguson Street Detroit, MI 48235","55,000",3,,
"16035 East State Fair Avenue Detroit, MI 48205","60,000",3,,
"13574 Minock Street Detroit, MI 48223","50,000",3,,
"19366 Dresden Street Detroit, MI 48205","58,000",3,,
"6365 Longacre Street Detroit, MI 48228","78,000",3,,
"9547 Mansfield Street Detroit, MI 48227","59,900",4,,
"13216 Hubbell Avenue Detroit, MI 48227","65,000",3,,
"847 Ashland Street Detroit, MI 48215","229,000",6,,
"1705 Livernois Detroit, MI 48209","975,000",16,,
"20510 Fenmore Street Detroit, MI 48235","85,000",3,,
"1541 Merrick Street Detroit, MI 48208","435,000",4,,
"13952 Northlawn Street Detroit, MI 48238","90,000",4,,
"15855 Auburn Street Detroit, MI 48223","85,000",3,,
"19793 Goulburn Avenue Detroit, MI 48205","65,000",3,,
"3941 Helen Street Detroit, MI 48207","190,900",4,,
"5283 Kensington Avenue Detroit, MI 48224","164,900",4,,
"2688 Montgomery Avenue Detroit, MI 48206","220,000",8,,
"13975 Rutherford Street Detroit, MI 48227","85,000",3,,
"11667 Wayburn Street Detroit, MI 48224","70,000",3,,
"8229 Penrod Street Detroit, MI 48228","65,000",3,,
"11351 Terry Street Detroit, MI 48227","60,000",3,,
"8501 Roselawn Street Detroit, MI 48204","69,999",3,,
"18294 Marlowe Street Detroit, MI 48235","125,000",3,,
"19810 Forrer Street Detroit, MI 48235","125,000",3,,
"10110 Beaconsfield Street Detroit, MI 48224","78,000",3,,
"13892 Edmore Drive Detroit, MI 48205","79,000",3,,
"15369 Prevost Street Detroit, MI 48227","85,000",3,,
"19430 Prevost Street Detroit, MI 48235","74,900",3,,
"16261 Tracey Street Detroit, MI 48235","80,000",3,,
"18025 Beland Street Detroit, MI 48234","59,900",3,,
"11603 Laing Street Detroit, MI 48224","69,900",3,,
"19440 Rutherford Street Detroit, MI 48235","85,000",3,,
"16554 Whitcomb Detroit, MI 48235","110,000",3,,
"16062 Carlisle Street .gMqXXr{display:block;height:80px;}/*!sc*/
@media (min-width:768px){.gMqXXr{display:none;}}/*!sc*/
data-styled.g291[id=""MapButtonPadding-sc-1py0i6t""]{content:""gMqXXr,""}/*!sc*/
 Detroit, MI 48205","75,000",3,,
